x,ePR,eP,gP,aP,eBR,eB,gB,mB,eqmC,eqmP,eqmB,eqmA
0.4,0.875,0.63,0.259,0.251,0.6,0.55,8.414,0.14,0.05045,0.569,21.53,22.14
0.4,0.875,0.63,0.259,0.301,0.6,0.55,8.414,0.14,0.05045,0.4744,17.7,18.23
0.4,0.875,0.63,0.259,0.351,0.6,0.55,8.414,0.14,0.05045,0.4067,14.97,15.43
0.4,0.875,0.63,0.259,0.401,0.6,0.55,8.414,0.14,0.05045,0.356,12.92,13.33
0.4,0.875,0.63,0.259,0.451,0.6,0.55,8.414,0.14,0.05045,0.3167,11.32,11.69
0.4,0.875,0.63,0.259,0.501,0.6,0.55,8.414,0.14,0.05045,0.285,10.05,10.38
0.45,0.875,0.63,0.259,0.001,0.6,0.55,8.414,0.14,0.05045,142.8,5772.0,5910.0
0.45,0.875,0.63,0.259,0.051,0.6,0.55,8.414,0.14,0.0,0.569,21.53,22.1
0.45,0.875,0.63,0.259,0.101,0.6,0.55,8.414,0.14,0.05045,1.413,55.5,56.97
0.45,0.875,0.63,0.259,0.151,0.6,0.55,8.414,0.14,0.05045,0.9453,36.56,37.56
0.45,0.875,0.63,0.259,0.201,0.6,0.55,8.414,0.14,0.05045,0.7104,27.06,27.83
0.45,0.875,0.63,0.259,0.251,0.6,0.55,8.414,0.14,0.05045,0.569,21.34,21.95
0.45,0.875,0.63,0.259,0.301,0.6,0.55,8.414,0.14,0.05045,0.4744,17.52,18.05
0.45,0.875,0.63,0.259,0.351,0.6,0.55,8.414,0.14,0.05045,0.4067,14.79,15.24
0.45,0.875,0.63,0.259,0.401,0.6,0.55,8.414,0.14,0.05045,0.356,12.734,13.14
0.45,0.875,0.63,0.259,0.451,0.6,0.55,8.414,0.14,0.05045,0.3167,11.14,11.51
0.45,0.875,0.63,0.259,0.501,0.6,0.55,8.414,0.14,0.05045,0.285,9.86,10.195
0.5,0.875,0.63,0.259,0.001,0.6,0.55,8.414,0.14,0.05045,142.8,5772.0,5910.0
0.5,0.875,0.63,0.259,0.051,0.6,0.55,8.414,0.14,0.0,0.0,0.0,0.0
0.5,0.875,0.63,0.259,0.101,0.6,0.55,8.414,0.14,0.05045,1.413,55.3,56.78
0.5,0.875,0.63,0.259,0.151,0.6,0.55,8.414,0.14,0.05045,0.9453,36.38,37.38
0.5,0.875,0.63,0.259,0.201,0.6,0.55,8.414,0.14,0.05045,0.7104,26.88,27.64
0.5,0.875,0.63,0.259,0.251,0.6,0.55,8.414,0.14,0.05045,0.569,21.16,21.78
0.5,0.875,0.63,0.259,0.301,0.6,0.55,8.414,0.14,0.05045,0.4744,17.33,17.86
0.5,0.875,0.63,0.259,0.351,0.6,0.55,8.414,0.14,0.05045,0.4067,14.6,15.055
0.5,0.875,0.63,0.259,0.401,0.6,0.55,8.414,0.14,0.05045,0.356,12.55,12.95
0.5,0.875,0.63,0.259,0.451,0.6,0.55,8.414,0.14,0.05045,0.3167,10.95,11.32
0.5,0.875,0.63,0.259,0.501,0.6,0.55,8.414,0.14,0.05045,0.285,9.67,10.01
0.0,0.875,0.63,0.259,0.001,0.6,0.55,4.73,0.14,0.0897,142.8,3246.0,3388.0
0.0,0.875,0.63,0.259,0.051,0.6,0.55,4.73,0.14,0.0897,2.799,63.66,66.56
0.0,0.875,0.63,0.259,0.101,0.6,0.55,4.73,0.14,0.0897,1.413,32.16,33.66
0.0,0.875,0.63,0.259,0.151,0.6,0.55,4.73,0.14,0.0897,0.9453,21.5,22.53
0.0,0.875,0.63,0.259,0.201,0.6,0.55,4.73,0.14,0.0897,0.7104,16.16,16.95
0.0,0.875,0.63,0.259,0.251,0.6,0.55,4.73,0.14,0.0897,0.569,12.94,13.59
0.0,0.875,0.63,0.259,0.301,0.6,0.55,4.73,0.14,0.0897,0.4744,10.79,11.35
0.0,0.875,0.63,0.259,0.351,0.6,0.55,4.73,0.14,0.0897,0.4067,9.25,9.74
0.0,0.875,0.63,0.259,0.401,0.6,0.55,4.73,0.14,0.0897,0.356,8.09,8.54
0.0,0.875,0.63,0.259,0.451,0.6,0.55,4.73,0.14,0.0897,0.3167,7.2,7.605
0.0,0.875,0.63,0.259,0.501,0.6,0.55,4.73,0.14,0.0897,0.285,6.48,6.855
0.05,0.875,0.63,0.259,0.001,0.6,0.55,4.73,0.14,0.0897,142.8,3246.0,3388.0
0.05,0.875,0.63,0.259,0.051,0.6,0.55,4.73,0.14,0.0897,2.799,63.47,66.4
0.05,0.875,0.63,0.259,0.101,0.6,0.55,4.73,0.14,0.0897,1.413,31.95,33.47
